timestamp,level,file,line,func,message
2026-05-09 15:17:22.341,INFO ,classifier.cpp,64,main,"classifier started"
2026-05-09 15:17:22.341,DEBUG,classifier.cpp,70,main,"config: net=src/classification/hef/efficientnet_m.hef"
2026-05-09 15:17:22.341,DEBUG,classifier.cpp,71,main,"config: input=local_data/input_img"
2026-05-09 15:17:22.341,DEBUG,classifier.cpp,72,main,"config: output=local_data/output_img"
2026-05-09 15:17:22.341,INFO ,classifier.cpp,76,main,"loading model: src/classification/hef/efficientnet_m.hef"
2026-05-09 15:17:22.341,TRACE,hailo_infer.cpp,11,HailoInfer,"creating VDevice"
2026-05-09 15:17:22.352,TRACE,hailo_infer.cpp,13,HailoInfer,"VDevice created"
2026-05-09 15:17:22.352,TRACE,hailo_infer.cpp,15,HailoInfer,"loading HEF: src/classification/hef/efficientnet_m.hef"
2026-05-09 15:17:22.360,TRACE,hailo_infer.cpp,17,HailoInfer,"HEF loaded"
2026-05-09 15:17:22.387,TRACE,hailo_infer.cpp,25,HailoInfer,"network group configured"
2026-05-09 15:17:22.387,TRACE,hailo_infer.cpp,29,HailoInfer,"output vstream registered: efficientnet_m/softmax1"
2026-05-09 15:17:22.387,TRACE,hailo_infer.cpp,40,init_vstreams,"creating input vstream params (format_type=1)"
2026-05-09 15:17:22.387,TRACE,hailo_infer.cpp,52,init_vstreams,"input vstream: name=efficientnet_m/input_layer1 shape=[H:240 W:240 C:3] frame_size=172800"
2026-05-09 15:17:22.387,TRACE,hailo_infer.cpp,59,init_vstreams,"creating output vstream params (format_type=3)"
2026-05-09 15:17:22.388,TRACE,hailo_infer.cpp,71,init_vstreams,"output vstream: name=efficientnet_m/softmax1 shape=[H:1 W:1 C:1001] frame_size=4004"
2026-05-09 15:17:22.388,TRACE,hailo_infer.cpp,33,HailoInfer,"HailoInfer init done"
2026-05-09 15:17:22.388,TRACE,hailo_infer.cpp,80,get_input_info,"get_input_info: name=efficientnet_m/input_layer1 shape=[H:240 W:240 C:3]"
2026-05-09 15:17:22.388,INFO ,classifier.cpp,81,main,"model ready: input=[H:240 W:240]"
