timestamp,level,file,line,func,message
2026-05-09 19:41:04.870,INFO ,classifier.cpp,64,main,"classifier started"
2026-05-09 19:41:04.870,DEBUG,classifier.cpp,70,main,"config: net=src/classification/hef/efficientnet_m.hef"
2026-05-09 19:41:04.870,DEBUG,classifier.cpp,71,main,"config: input=local_data/input_img"
2026-05-09 19:41:04.870,DEBUG,classifier.cpp,72,main,"config: output=local_data/output_img"
2026-05-09 19:41:04.870,INFO ,classifier.cpp,76,main,"loading model: src/classification/hef/efficientnet_m.hef"
2026-05-09 19:41:04.870,TRACE,hailo_infer.cpp,12,HailoInfer,"creating VDevice"
2026-05-09 19:41:04.883,TRACE,hailo_infer.cpp,16,HailoInfer,"VDevice created"
2026-05-09 19:41:04.883,TRACE,hailo_infer.cpp,18,HailoInfer,"loading HEF: src/classification/hef/efficientnet_m.hef"
2026-05-09 19:41:04.891,TRACE,hailo_infer.cpp,20,HailoInfer,"HEF loaded"
2026-05-09 19:41:04.923,TRACE,hailo_infer.cpp,28,HailoInfer,"network group configured"
2026-05-09 19:41:04.923,TRACE,hailo_infer.cpp,32,HailoInfer,"output vstream registered: efficientnet_m/softmax1"
2026-05-09 19:41:04.923,TRACE,hailo_infer.cpp,43,init_vstreams,"creating input vstream params (format_type=1)"
2026-05-09 19:41:04.923,TRACE,hailo_infer.cpp,55,init_vstreams,"input vstream: name=efficientnet_m/input_layer1 shape=[H:240 W:240 C:3] frame_size=172800"
2026-05-09 19:41:04.923,TRACE,hailo_infer.cpp,62,init_vstreams,"creating output vstream params (format_type=3)"
2026-05-09 19:41:04.924,TRACE,hailo_infer.cpp,74,init_vstreams,"output vstream: name=efficientnet_m/softmax1 shape=[H:1 W:1 C:1001] frame_size=4004"
2026-05-09 19:41:04.924,TRACE,hailo_infer.cpp,36,HailoInfer,"HailoInfer init done"
2026-05-09 19:41:04.924,TRACE,hailo_infer.cpp,83,get_input_info,"get_input_info: name=efficientnet_m/input_layer1 shape=[H:240 W:240 C:3]"
2026-05-09 19:41:04.924,INFO ,classifier.cpp,81,main,"model ready: input=[H:240 W:240]"
2026-05-09 19:41:04.924,TRACE,toolbox.cpp,41,is_image_file,"is_image_file: local_data/input_img/bus.jpg -> yes"
2026-05-09 19:41:04.924,DEBUG,classifier.cpp,91,main,"processing: bus.jpg"
2026-05-09 19:41:04.941,TRACE,classifier.cpp,98,main,"image loaded: [H:853 W:1280 C:3]"
2026-05-09 19:41:04.941,TRACE,toolbox.cpp,98,preprocess_image,"preprocess_image: src=[H:853 W:1280 C:3] target=[H:240 W:240] norm=0"
2026-05-09 19:41:04.946,TRACE,toolbox.cpp,114,preprocess_image,"preprocess_image: dst=[H:240 W:240 C:3 type:16]"
2026-05-09 19:41:04.947,TRACE,classifier.cpp,102,main,"image preprocessed: [H:240 W:240 C:3]"
2026-05-09 19:41:04.947,TRACE,hailo_infer.cpp,111,infer,"infer start: input=[H:240 W:240 C:3 type:16] output_vstreams=1"
2026-05-09 19:41:04.947,TRACE,hailo_infer.cpp,119,infer,"input frame_size=172800"
2026-05-09 19:41:04.971,TRACE,hailo_infer.cpp,152,infer,"all threads joined"
2026-05-09 19:41:04.971,TRACE,hailo_infer.cpp,155,infer,"write status=0"
2026-05-09 19:41:04.971,TRACE,hailo_infer.cpp,159,infer,"read[0] status=0"
2026-05-09 19:41:04.971,INFO ,hailo_infer.cpp,165,infer,"temperature: ts0=57.4 C ts1=57.7 C"
2026-05-09 19:41:04.971,TRACE,hailo_infer.cpp,173,infer,"result[0]: name=efficientnet_m/softmax1 buf_size=4004"
2026-05-09 19:41:04.971,TRACE,hailo_infer.cpp,176,infer,"infer done: 1 results"
2026-05-09 19:41:04.971,DEBUG,classifier.cpp,109,main,"infer done: 24.40 ms"
2026-05-09 19:41:04.971,TRACE,classifier.cpp,116,main,"output: num_classes=1001"
2026-05-09 19:41:04.971,TRACE,classifier.cpp,46,classify_and_format,"classify: top_idx=706 conf=0.5569 threshold=0.30"
2026-05-09 19:41:04.971,TRACE,classifier.cpp,56,classify_and_format,"classify: result=patio, terrace (55.7%)"
2026-05-09 19:41:04.971,INFO ,classifier.cpp,119,main,"result: bus.jpg -> patio, terrace (55.7%)"
2026-05-09 19:41:04.997,TRACE,toolbox.cpp,202,save_image,"save_image: saved local_data/output_img/bus.jpg [H:853 W:1280]"
2026-05-09 19:41:04.997,TRACE,classifier.cpp,125,main,"saved: local_data/output_img/bus.jpg"
2026-05-09 19:41:04.997,TRACE,toolbox.cpp,41,is_image_file,"is_image_file: local_data/input_img/dog.jpg -> yes"
2026-05-09 19:41:04.997,DEBUG,classifier.cpp,91,main,"processing: dog.jpg"
2026-05-09 19:41:04.998,TRACE,classifier.cpp,98,main,"image loaded: [H:194 W:259 C:3]"
2026-05-09 19:41:04.998,TRACE,toolbox.cpp,98,preprocess_image,"preprocess_image: src=[H:194 W:259 C:3] target=[H:240 W:240] norm=0"
2026-05-09 19:41:04.999,TRACE,toolbox.cpp,114,preprocess_image,"preprocess_image: dst=[H:240 W:240 C:3 type:16]"
2026-05-09 19:41:04.999,TRACE,classifier.cpp,102,main,"image preprocessed: [H:240 W:240 C:3]"
2026-05-09 19:41:04.999,TRACE,hailo_infer.cpp,111,infer,"infer start: input=[H:240 W:240 C:3 type:16] output_vstreams=1"
2026-05-09 19:41:04.999,TRACE,hailo_infer.cpp,119,infer,"input frame_size=172800"
2026-05-09 19:41:05.005,TRACE,hailo_infer.cpp,152,infer,"all threads joined"
2026-05-09 19:41:05.005,TRACE,hailo_infer.cpp,155,infer,"write status=0"
2026-05-09 19:41:05.005,TRACE,hailo_infer.cpp,159,infer,"read[0] status=0"
2026-05-09 19:41:05.005,INFO ,hailo_infer.cpp,165,infer,"temperature: ts0=57.3 C ts1=57.6 C"
2026-05-09 19:41:05.005,TRACE,hailo_infer.cpp,173,infer,"result[0]: name=efficientnet_m/softmax1 buf_size=4004"
2026-05-09 19:41:05.005,TRACE,hailo_infer.cpp,176,infer,"infer done: 1 results"
2026-05-09 19:41:05.005,DEBUG,classifier.cpp,109,main,"infer done: 5.92 ms"
2026-05-09 19:41:05.005,TRACE,classifier.cpp,116,main,"output: num_classes=1001"
2026-05-09 19:41:05.005,TRACE,classifier.cpp,46,classify_and_format,"classify: top_idx=160 conf=0.3059 threshold=0.30"
2026-05-09 19:41:05.005,TRACE,classifier.cpp,56,classify_and_format,"classify: result=Afghan hound, Afghan (30.6%)"
2026-05-09 19:41:05.005,INFO ,classifier.cpp,119,main,"result: dog.jpg -> Afghan hound, Afghan (30.6%)"
2026-05-09 19:41:05.006,TRACE,toolbox.cpp,202,save_image,"save_image: saved local_data/output_img/dog.jpg [H:194 W:259]"
2026-05-09 19:41:05.007,TRACE,classifier.cpp,125,main,"saved: local_data/output_img/dog.jpg"
2026-05-09 19:41:05.007,TRACE,toolbox.cpp,41,is_image_file,"is_image_file: local_data/input_img/images.jpg -> yes"
2026-05-09 19:41:05.007,DEBUG,classifier.cpp,91,main,"processing: images.jpg"
2026-05-09 19:41:05.007,TRACE,classifier.cpp,98,main,"image loaded: [H:168 W:300 C:3]"
2026-05-09 19:41:05.007,TRACE,toolbox.cpp,98,preprocess_image,"preprocess_image: src=[H:168 W:300 C:3] target=[H:240 W:240] norm=0"
2026-05-09 19:41:05.008,TRACE,toolbox.cpp,114,preprocess_image,"preprocess_image: dst=[H:240 W:240 C:3 type:16]"
2026-05-09 19:41:05.008,TRACE,classifier.cpp,102,main,"image preprocessed: [H:240 W:240 C:3]"
2026-05-09 19:41:05.008,TRACE,hailo_infer.cpp,111,infer,"infer start: input=[H:240 W:240 C:3 type:16] output_vstreams=1"
2026-05-09 19:41:05.008,TRACE,hailo_infer.cpp,119,infer,"input frame_size=172800"
2026-05-09 19:41:05.013,TRACE,hailo_infer.cpp,152,infer,"all threads joined"
2026-05-09 19:41:05.014,TRACE,hailo_infer.cpp,155,infer,"write status=0"
2026-05-09 19:41:05.014,TRACE,hailo_infer.cpp,159,infer,"read[0] status=0"
2026-05-09 19:41:05.014,INFO ,hailo_infer.cpp,165,infer,"temperature: ts0=57.3 C ts1=57.6 C"
2026-05-09 19:41:05.014,TRACE,hailo_infer.cpp,173,infer,"result[0]: name=efficientnet_m/softmax1 buf_size=4004"
2026-05-09 19:41:05.014,TRACE,hailo_infer.cpp,176,infer,"infer done: 1 results"
2026-05-09 19:41:05.014,DEBUG,classifier.cpp,109,main,"infer done: 5.89 ms"
2026-05-09 19:41:05.014,TRACE,classifier.cpp,116,main,"output: num_classes=1001"
